size,type,algorithm,time_ms,comparisons
1700,prefix,string_mergesort,5.05089,824404
1700,prefix,msd_radix_sort,7.26361,88322
1700,prefix,msd_radix_sort_switch,7.54818,91200.5
1800,random,quick_sort,1.23053,29506.9
1800,random,merge_sort,3.32409,23965
1800,random,string_quicksort,3.07729,19222.8
1800,random,string_mergesort,2.20594,23965
1800,random,msd_radix_sort,0.96705,4107
1800,random,msd_radix_sort_switch,1.54163,8729.6
1800,reverse,quick_sort,1.14109,31223.4
1800,reverse,merge_sort,3.1507,14881
1800,reverse,string_quicksort,2.86609,18995
1800,reverse,string_mergesort,1.8685,14881
1800,reverse,msd_radix_sort,1.13257,4377
1800,reverse,msd_radix_sort_switch,1.75187,10137.4
1800,almost,quick_sort,1.1269,30860.4
1800,almost,merge_sort,3.1901,21430
1800,almost,string_quicksort,2.83956,18912.1
1800,almost,string_mergesort,2.03698,21430
1800,almost,msd_radix_sort,1.09414,4360
1800,almost,msd_radix_sort_switch,1.67479,10101.5
1800,prefix,quick_sort,5.17801,917738
1800,prefix,merge_sort,7.32871,878360
1800,prefix,string_quicksort,3.32485,106106
1800,prefix,string_mergesort,5.96694,879110
1800,prefix,msd_radix_sort,7.57004,93580
1800,prefix,msd_radix_sort_switch,7.95372,96836.2
1900,random,quick_sort,1.27357,31068.5
1900,random,merge_sort,3.57451,25562
1900,random,string_quicksort,3.25389,20534.1
1900,random,string_mergesort,2.39356,25562
1900,random,msd_radix_sort,1.06484,4376
1900,random,msd_radix_sort_switch,1.65145,9415.9
1900,reverse,quick_sort,1.21324,32684
1900,reverse,merge_sort,3.37483,15958
1900,reverse,string_quicksort,3.06869,20504.3
1900,reverse,string_mergesort,1.96681,15958
1900,reverse,msd_radix_sort,1.24057,4603
1900,reverse,msd_radix_sort_switch,2.03344,10779.9
1900,almost,quick_sort,1.48659,33481.2
1900,almost,merge_sort,3.36018,22496
1900,almost,string_quicksort,3.18575,21063.6
1900,almost,string_mergesort,2.19316,22496
1900,almost,msd_radix_sort,1.25657,4621
1900,almost,msd_radix_sort_switch,1.82288,10727
1900,prefix,quick_sort,5.43426,959596
1900,prefix,merge_sort,7.79042,932759
1900,prefix,string_quicksort,3.50448,111850
1900,prefix,string_mergesort,5.8275,933459
1900,prefix,msd_radix_sort,7.88649,98720
1900,prefix,msd_radix_sort_switch,8.60722,102126
2000,random,quick_sort,1.31753,32557.7
2000,random,merge_sort,3.72248,27087
2000,random,string_quicksort,3.50956,21675.2
2000,random,string_mergesort,2.45583,27087
2000,random,msd_radix_sort,1.15363,4640
2000,random,msd_radix_sort_switch,1.70674,10047.9
2000,reverse,quick_sort,1.29925,34078.6
2000,reverse,merge_sort,3.57975,17029
2000,reverse,string_quicksort,3.29196,21457.8
2000,reverse,string_mergesort,2.12899,17029
2000,reverse,msd_radix_sort,1.25844,4885
2000,reverse,msd_radix_sort_switch,1.93642,11229.7
2000,almost,quick_sort,1.31111,34757.8
2000,almost,merge_sort,3.71398,22863
2000,almost,string_quicksort,3.44928,22203
2000,almost,string_mergesort,2.29836,22863
2000,almost,msd_radix_sort,1.2105,4808
2000,almost,msd_radix_sort_switch,1.86993,11129.5
2000,prefix,quick_sort,5.66066,1.00736e+06
2000,prefix,merge_sort,8.2764,991638
2000,prefix,string_quicksort,3.8123,118057
2000,prefix,string_mergesort,6.18786,991888
2000,prefix,msd_radix_sort,8.57188,103977
2000,prefix,msd_radix_sort_switch,8.99155,107696
2100,random,quick_sort,1.40699,35486.9
2100,random,merge_sort,4.10373,28803
2100,random,string_quicksort,3.50127,22045.4
2100,random,string_mergesort,2.59352,28803
2100,random,msd_radix_sort,1.2395,4910
2100,random,msd_radix_sort_switch,1.832,10683.5
2100,reverse,quick_sort,1.46971,37101.5
2100,reverse,merge_sort,3.83954,17962
2100,reverse,string_quicksort,3.44801,22867.9
2100,reverse,string_mergesort,2.27266,17962
2100,reverse,msd_radix_sort,1.51326,5108
2100,reverse,msd_radix_sort_switch,1.99938,11887.1
2100,almost,quick_sort,1.44566,37509
2100,almost,merge_sort,3.87497,24540
2100,almost,string_quicksort,3.54777,23078
2100,almost,string_mergesort,2.38736,24540
2100,almost,msd_radix_sort,1.35406,5101
2100,almost,msd_radix_sort_switch,2.03279,11905.3
2100,prefix,quick_sort,6.2328,1.12655e+06
2100,prefix,merge_sort,8.77425,1.04678e+06
2100,prefix,string_quicksort,3.98496,124074
2100,prefix,string_mergesort,6.45104,1.04718e+06
2100,prefix,msd_radix_sort,8.81498,109181
2100,prefix,msd_radix_sort_switch,9.30822,113166
2200,random,quick_sort,1.57115,37886.1
2200,random,merge_sort,4.37159,30552
2200,random,string_quicksort,3.79294,23678.3
2200,random,string_mergesort,2.80777,30552
2200,random,msd_radix_sort,1.31203,5173
2200,random,msd_radix_sort_switch,1.97838,11337.3
2200,reverse,quick_sort,1.4662,38674.1
2200,reverse,merge_sort,4.06027,18604
2200,reverse,string_quicksort,3.76327,24103.4
2200,reverse,string_mergesort,2.41316,18604
2200,reverse,msd_radix_sort,1.48305,5355
2200,reverse,msd_radix_sort_switch,2.06061,12312.1
2200,almost,quick_sort,1.46807,38776.4
2200,almost,merge_sort,4.10663,26666
2200,almost,string_quicksort,3.82969,24716.9
2200,almost,string_mergesort,2.56892,26666
2200,almost,msd_radix_sort,1.4151,5310
2200,almost,msd_radix_sort_switch,2.16041,12355.1
2200,prefix,quick_sort,6.73068,1.19971e+06
2200,prefix,merge_sort,9.15804,1.1057e+06
2200,prefix,string_quicksort,4.28831,130462
2200,prefix,string_mergesort,6.72875,1.1064e+06
2200,prefix,msd_radix_sort,9.2423,114413
2200,prefix,msd_radix_sort_switch,9.87549,118864
2300,random,quick_sort,1.59575,40029.5
2300,random,merge_sort,4.47574,32294
2300,random,string_quicksort,4.08277,25910.4
2300,random,string_mergesort,2.87452,32294
2300,random,msd_radix_sort,1.30063,5366
2300,random,msd_radix_sort_switch,2.12497,12136.6
2300,reverse,quick_sort,1.49914,40322.6
2300,reverse,merge_sort,4.30344,19453
2300,reverse,string_quicksort,3.96006,25603.3
2300,reverse,string_mergesort,2.46576,19453
2300,reverse,msd_radix_sort,1.46372,5575
2300,reverse,msd_radix_sort_switch,2.23042,13055.7
2300,almost,quick_sort,1.62319,40596.2
2300,almost,merge_sort,4.25909,28665
2300,almost,string_quicksort,3.98928,25812.5
2300,almost,string_mergesort,2.77176,28665
2300,almost,msd_radix_sort,1.4563,5584
2300,almost,msd_radix_sort_switch,2.13748,12794.2
2300,prefix,quick_sort,6.9136,1.24516e+06
2300,prefix,merge_sort,9.74973,1.16324e+06
2300,prefix,string_quicksort,4.43888,136210
2300,prefix,string_mergesort,7.34501,1.16454e+06
2300,prefix,msd_radix_sort,9.59419,119643
2300,prefix,msd_radix_sort_switch,10.3539,124306
2400,random,quick_sort,1.62695,41597.6
2400,random,merge_sort,4.68562,33909
2400,random,string_quicksort,4.36096,27368
2400,random,string_mergesort,2.9872,33909
2400,random,msd_radix_sort,1.44298,5666
2400,random,msd_radix_sort_switch,2.22078,12733
2400,reverse,quick_sort,1.56675,42616.7
2400,reverse,merge_sort,4.47778,20225
2400,reverse,string_quicksort,4.3187,27612.6
2400,reverse,string_mergesort,2.62106,20225
2400,reverse,msd_radix_sort,1.66401,5827
2400,reverse,msd_radix_sort_switch,2.31681,13622.2
2400,almost,quick_sort,1.56321,41962.3
2400,almost,merge_sort,4.53961,30002
2400,almost,string_quicksort,4.11929,27439.6
2400,almost,string_mergesort,2.86546,30002
2400,almost,msd_radix_sort,1.48286,5826
2400,almost,msd_radix_sort_switch,2.27319,13480.5
2400,prefix,quick_sort,7.46231,1.30463e+06
2400,prefix,merge_sort,10.3032,1.22304e+06
2400,prefix,string_quicksort,4.83608,143117
2400,prefix,string_mergesort,7.5463,1.22499e+06
2400,prefix,msd_radix_sort,10.1748,124855
2400,prefix,msd_radix_sort_switch,10.9865,129899
2500,random,quick_sort,1.7875,43434.6
2500,random,merge_sort,4.96977,35710
2500,random,string_quicksort,4.44578,28043.8
2500,random,string_mergesort,3.1552,35710
2500,random,msd_radix_sort,1.56827,5926
2500,random,msd_radix_sort_switch,2.29563,13462.8
2500,reverse,quick_sort,1.69692,45346.9
2500,reverse,merge_sort,4.56412,21168
2500,reverse,string_quicksort,4.34599,27981.3
2500,reverse,string_mergesort,2.66684,21168
2500,reverse,msd_radix_sort,1.62992,6086
2500,reverse,msd_radix_sort_switch,2.36749,14126.9
2500,almost,quick_sort,1.66994,44867.8
2500,almost,merge_sort,4.74456,31563
2500,almost,string_quicksort,4.41727,28734.3
2500,almost,string_mergesort,2.95436,31563
2500,almost,msd_radix_sort,1.59031,6066
2500,almost,msd_radix_sort_switch,2.37193,14020.4
2500,prefix,quick_sort,7.55294,1.33436e+06
2500,prefix,merge_sort,10.6661,1.28251e+06
2500,prefix,string_quicksort,5.11178,149002
2500,prefix,string_mergesort,7.99434,1.28411e+06
2500,prefix,msd_radix_sort,10.7463,130154
2500,prefix,msd_radix_sort_switch,11.6021,135559
2600,random,quick_sort,1.8572,46249.2
2600,random,merge_sort,5.16888,37501
2600,random,string_quicksort,4.66465,29213.6
2600,random,string_mergesort,3.28848,37501
2600,random,msd_radix_sort,1.61389,6156
2600,random,msd_radix_sort_switch,2.48158,14131.6
2600,reverse,quick_sort,1.87223,47549.9
2600,reverse,merge_sort,4.82585,21853
2600,reverse,string_quicksort,4.37444,28855.8
2600,reverse,string_mergesort,2.89422,21853
2600,reverse,msd_radix_sort,1.63708,6271
2600,reverse,msd_radix_sort_switch,2.54945,14755.4
2600,almost,quick_sort,1.73377,46054.5
2600,almost,merge_sort,4.90124,32455
2600,almost,string_quicksort,4.50958,29042.7
2600,almost,string_mergesort,3.03285,32455
